Cluster,Non_Attrited_Customers,Attrited_Customers,Total_Customers,Cluster_Size_Ratio,Attrition_Rate,Non_Attrition_Rate,Attrition_Rate_Difference_From_Overall,Attrition_Lift,Share_Of_All_Attrited_Customers,Share_Of_All_Non_Attrited_Customers,Majority_Class,Majority_Class_Count,Cluster_Purity,Risk_Level
0,743,0,743,0.0734,0.0,1.0,-0.1607,0.0,0.0,0.0874,Existing Customer,743,1.0,Lower risk than average
1,7757,1627,9384,0.9266,0.1734,0.8266,0.0127,1.0792,1.0,0.9126,Existing Customer,7757,0.8266,Higher risk than average
