Cluster,Non_Attrited_Customers,Attrited_Customers,Total_Customers,Cluster_Size_Ratio,Attrition_Rate,Non_Attrition_Rate,Attrition_Rate_Difference_From_Overall,Attrition_Lift,Share_Of_All_Attrited_Customers,Share_Of_All_Non_Attrited_Customers,Majority_Class,Majority_Class_Count,Cluster_Purity,Risk_Level
0,285,72,357,0.0353,0.2017,0.7983,0.041,1.2553,0.0443,0.0335,Existing Customer,285,0.7983,Higher risk than average
1,180,66,246,0.0243,0.2683,0.7317,0.1076,1.6699,0.0406,0.0212,Existing Customer,180,0.7317,Higher risk than average
2,744,0,744,0.0735,0.0,1.0,-0.1607,0.0,0.0,0.0875,Existing Customer,744,1.0,Lower risk than average
3,7291,1489,8780,0.867,0.1696,0.8304,0.0089,1.0556,0.9152,0.8578,Existing Customer,7291,0.8304,Higher risk than average
